,Strategy_Hold,Strategy_Monthly,Strategy_Hold
2025-04-03,1.086032843100545,1.0899864125663816,1.0097874173060655
2025-04-04,1.0240333362849827,1.0311535123693338,0.9750754318967345
2025-04-07,1.0099037733902867,1.017582896662433,0.9691106122634673
2025-04-08,0.9854885106643346,0.9936980419577329,0.9579577469037015
2025-04-09,1.095965259221229,1.1044171662294213,1.0170632445006638
2025-04-10,1.0479396021553413,1.0585690474157377,0.9870155260531113
2025-04-11,1.053229862513136,1.0643477051322987,0.9970099333889664
2025-04-14,1.0584057570646734,1.069865605277769,1.0050731649025855
2025-04-15,1.0610114376291446,1.0722402611976567,1.004392229271535
2025-04-16,1.0352294221763672,1.0476140748989924,0.9921777419673106
2025-04-17,1.0346743291214195,1.0470847495010607,0.9921225156116933
2025-04-18,1.0346743291214195,1.0470847495010607,0.9921225156116933
2025-04-21,1.0037323578867023,1.0167988185796477,0.9759167511931921
2025-04-22,1.028714611662898,1.04182529569094,0.991554510155872
2025-04-23,1.0541027299221044,1.0665617063291433,1.00150351302144
2025-04-24,1.0764712614140526,1.0884896063494012,1.0163596709513387
2025-04-25,1.1191373979517616,1.1278735824383344,1.0221033788291891
2025-04-28,1.1215330822018093,1.1301686735007512,1.0233408888659912
2025-04-29,1.1340190398754957,1.1416217666469646,1.028270493113299
2025-04-30,1.1187520426868263,1.1286526330192264,1.0282371816983686
2025-05-01,1.1177158497909214,1.1280845711651066,1.0314799590489894
2025-05-02,1.1314584649384862,1.140781224286383,1.0387136029849957
2025-05-05,1.1182957785468481,1.128875995069387,1.0345293086692267
2025-05-06,1.108575605109114,1.1199677025810788,1.0301704409220915
2025-05-07,1.1120215495320716,1.123435606583143,1.033574606595709
2025-05-08,1.1258460729712736,1.1357007912673605,1.0357550237759254
2025-05-09,1.146337934168848,1.1533953054038142,1.0352873588708802
2025-05-12,1.1876561720568324,1.1907116907258222,1.054691929800591
2025-05-13,1.2140190816159477,1.2127278844019205,1.0588185504583008
2025-05-14,1.2342385809018463,1.2283153107951,1.0582570823573858
2025-05-15,1.2303642420901262,1.2268084742067196,1.063639228824085
2025-05-16,1.2439203946872834,1.2382218648218901,1.0680904688537112
2025-05-19,1.2321022719290893,1.2292545129522237,1.068703585368344
2025-05-20,1.2329163512921013,1.2292139652490368,1.0657458596679994
2025-05-21,1.2104875041134493,1.2087964777661757,1.0520863939261766
2025-05-22,1.2214302211396428,1.2178073083309902,1.0534614216288394
2025-05-23,1.2168634375802325,1.2136324976698671,1.049637160766108
2025-05-26,1.2168634375802325,1.2136324976698671,1.049637160766108
2025-05-27,1.2621072331535856,1.2520236434522618,1.0649680837288633
2025-05-28,1.2500351310141142,1.2417997170397899,1.0602586067899231
2025-05-29,1.2550360648169034,1.2466952048085116,1.0643002251540539
2025-05-30,1.2368805726836958,1.2331534173949017,1.064347018440995
2025-06-02,1.2323950112397646,1.2300892351228085,1.0671525018059134
2025-06-03,1.2365440652712996,1.2338646806356053,1.0704737789793377
2025-06-04,1.219765583972149,1.2217156373811726,1.0728199956598714
2025-06-05,1.1445452138491152,1.160891998823502,1.068822154964659
2025-06-06,1.1625428452877222,1.1769770220585827,1.0734269537623495
2025-06-09,1.1840502258899857,1.1957938544284905,1.0746464437622145
2025-06-10,1.2137260936704917,1.221443316744778,1.079224262514218
2025-06-11,1.2142582582692898,1.221999046342419,1.07859623782623
2025-06-12,1.2057500984659435,1.2159966562605427,1.0827768657029215
2025-06-13,1.2098816718038408,1.2178958101502892,1.0737890941254058
2025-06-16,1.2186185741210849,1.22574360884438,1.0793392032341051
2025-06-17,1.1968586188709696,1.2076823091090347,1.0748852877456698
2025-06-18,1.2057512251331612,1.2150961899164368,1.0750092731854852
2025-06-19,1.2057512251331612,1.2150961899164368,1.0750092731854852
2025-06-20,1.2052846166854603,1.2145613751270525,1.0737247289813083
2025-06-23,1.250538021171653,1.2528874734999147,1.0813014326437114
2025-06-24,1.2430677310684761,1.2489252471013965,1.0899528399521496
2025-06-25,1.2235133284723043,1.2334742438312196,1.0904453994976473
2025-06-26,1.2247267168749152,1.2356472499826074,1.0969375222961508
2025-06-27,1.2225164821958912,1.2340228128040172,1.0993845440060928
2025-06-30,1.2165231903586144,1.2300280572043112,1.1043006497125925
2025-07-01,1.1900872573606556,1.2077104462478074,1.1037674000069368
2025-07-02,1.214416370995399,1.2290969529718536,1.1064495116876603
2025-07-03,1.2161501713105152,1.230929951224258,1.1109069119467838
2025-07-04,1.2161501713105152,1.230929951224258,1.1109069119467838
2025-07-07,1.1792190969748655,1.198667697415486,1.104342796004631
2025-07-08,1.1847687754235268,1.2034900246525884,1.103737398405437
2025-07-09,1.1854743692972636,1.2048938696798381,1.109531192915795
2025-07-10,1.2081190293521575,1.225071740355217,1.1115564525770105
2025-07-11,1.2109396334180347,1.226757274759621,1.1074067462738038
2025-07-14,1.2168430140170328,1.2319030273131597,1.1086817078768796
2025-07-15,1.2047447076846547,1.2209769560040027,1.104456470580385
2025-07-16,1.2234330275492042,1.237384189617777,1.107571361206967
2025-07-17,1.2224271706843346,1.2371238747159292,1.1119574381218407
2025-07-18,1.2384439135529517,1.250722576811629,1.11211826429248
2025-07-21,1.2383854608962623,1.2512478404802534,1.1146315147467554
2025-07-22,1.2445684954193137,1.256588880901741,1.1154075950085902
2025-07-23,1.247881727046658,1.2598613586652678,1.120548476271526
2025-07-24,1.205689012225776,1.225059174560955,1.1202768192687385
2025-07-25,1.224738027137902,1.242183934109135,1.124288095540066
2025-07-28,1.2387242063159642,1.2538854010959306,1.1234336970734822
2025-07-29,1.2327146067612516,1.2493231977879558,1.1236930609784093
2025-07-30,1.2280061588631737,1.2449200740040958,1.1217287481761662
